Year,Month,Day,Hour,Minute,Tide,Height
2016,9,23,1,52,High Tide,9.19
2016,9,23,8,31,Low Tide,1.07
2016,9,23,14,17,High Tide,8.72
2016,9,23,20,47,Low Tide,1.45
2016,9,24,2,39,High Tide,8.84
2016,9,24,9,13,Low Tide,1.47
2016,9,24,15,7,High Tide,8.35
2016,9,24,21,35,Low Tide,1.85
2016,9,25,3,34,High Tide,8.4
2016,9,25,10,3,Low Tide,1.94
2016,9,25,16,7,High Tide,7.95
2016,9,25,22,35,Low Tide,2.25
2016,9,26,4,41,High Tide,7.94
2016,9,26,11,8,Low Tide,2.36
2016,9,26,17,23,High Tide,7.65
2016,9,27,6,3,High Tide,7.67
2016,9,27,12,31,Low Tide,2.55
2016,9,27,18,47,High Tide,7.64
2016,9,28,1,20,Low Tide,2.38
2016,9,28,7,25,High Tide,7.72
2016,9,28,13,52,Low Tide,2.41
2016,9,28,20,1,High Tide,7.92
2016,9,29,2,36,Low Tide,2.03
2016,9,29,8,35,High Tide,8.01
2016,9,29,15,1,Low Tide,2.09
2016,9,29,21,2,High Tide,8.31
2016,9,30,3,41,Low Tide,1.61
2016,9,30,9,30,High Tide,8.36
2016,9,30,15,59,Low Tide,1.76
2016,9,30,21,51,High Tide,8.67
2016,9,31,4,34,Low Tide,1.28
2016,9,31,10,15,High Tide,8.63
2016,9,31,16,46,Low Tide,1.52
2016,9,31,22,33,High Tide,8.91
2016,10,1,5,18,Low Tide,1.08
2016,10,1,10,54,High Tide,8.8
2016,10,1,17,27,Low Tide,1.38
2016,10,1,23,10,High Tide,9.04
2016,10,2,5,57,Low Tide,1.01
2016,10,2,11,30,High Tide,8.87
2016,10,2,18,1,Low Tide,1.33
2016,10,2,23,45,High Tide,9.05
2016,10,3,6,30,Low Tide,1.07
2016,10,3,12,3,High Tide,8.85
2016,10,3,18,33,Low Tide,1.38
2016,10,4,0,17,High Tide,8.97
2016,10,4,7,0,Low Tide,1.21
2016,10,4,12,33,High Tide,13.06
2016,10,4,19,1,Low Tide,1.51
2016,10,5,0,48,High Tide,8.8
2016,10,5,7,28,Low Tide,1.44
2016,10,5,13,6,High Tide,8.59
2016,10,5,19,29,Low Tide,1.71
2016,10,6,1,21,High Tide,8.57
2016,10,6,7,54,Low Tide,1.72
2016,10,6,13,38,High Tide,8.36
2016,10,6,19,58,Low Tide,1.98
2016,10,7,1,53,High Tide,8.26
2016,10,7,8,21,Low Tide,2.05
2016,10,7,14,14,High Tide,8.06
2016,10,7,20,30,Low Tide,2.31
2016,10,8,2,29,High Tide,7.89
2016,10,8,8,54,Low Tide,2.44
2016,10,8,14,54,High Tide,7.7
2016,10,8,21,10,Low Tide,2.68
2016,10,9,3,12,High Tide,7.47
2016,10,9,9,36,Low Tide,2.85
2016,10,9,15,44,High Tide,7.33
2016,10,9,22,2,Low Tide,3.04
2016,10,10,4,10,High Tide,7.06
2016,10,10,10,36,Low Tide,3.2
2016,10,10,16,55,High Tide,7.06
2016,10,10,23,16,Low Tide,3.25
2016,10,11,5,34,High Tide,6.84
2016,10,11,12,4,Low Tide,3.29
2016,10,11,18,19,High Tide,7.08
2016,10,12,0,45,Low Tide,3.1
2016,10,12,7,3,High Tide,7.02
2016,10,12,13,27,Low Tide,2.99
2016,10,12,19,34,High Tide,7.45
2016,10,13,1,59,Low Tide,2.64
2016,10,13,8,10,High Tide,7.48
2016,10,13,14,30,Low Tide,2.49
2016,10,13,20,31,High Tide,7.98
2016,10,14,2,59,Low Tide,2.09
2016,10,14,9,1,High Tide,8.03
2016,10,14,15,24,Low Tide,1.95
2016,10,14,21,17,High Tide,8.52
2016,10,15,3,52,Low Tide,1.55
2016,10,15,9,43,High Tide,8.55
2016,10,15,16,13,Low Tide,1.48
2016,10,15,21,59,High Tide,9
2016,10,16,4,42,Low Tide,1.08
2016,10,16,10,24,High Tide,8.97
2016,10,16,17,0,Low Tide,1.08
2016,10,16,22,39,High Tide,9.38
2016,10,17,5,27,Low Tide,0.71
2016,10,17,11,3,High Tide,9.28
2016,10,17,17,44,Low Tide,0.08
2016,10,17,23,21,High Tide,9.63
2016,10,18,6,11,Low Tide,0.5
2016,10,18,11,44,High Tide,9.43
2016,10,18,18,27,Low Tide,0.67
2016,10,19,0,3,High Tide,9.72
2016,10,19,6,52,Low Tide,0.47
2016,10,19,12,26,High Tide,9.42
2016,10,19,19,8,Low Tide,0.71
